window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
30,1.57,half_window,15,0.1829875518672199,0.2206103051525763,0.20004536176003626,2410,1999,411,1483.0,0.9993628604308984,0.5710947925377604,167.00181447040146
30,1.57,quarter_window,7,0.108298755186722,0.13056528264132067,0.11839419369471536,2410,1999,411,1483.0,0.9993628604308984,0.5710947925377604,167.00181447040146
30,1.79,full_window,30,0.31157731157731156,0.19609804902451225,0.24070383423053157,1287,1999,712,3193.0,0.998847108214226,0.4715251589526467,278.8755325623859
30,1.79,half_window,15,0.22999222999222999,0.14807403701850924,0.18015824710894704,1287,1999,712,3193.0,0.998847108214226,0.4715251589526467,278.8755325623859
30,1.79,quarter_window,7,0.13675213675213677,0.0880440220110055,0.10712111990261718,1287,1999,712,3193.0,0.998847108214226,0.4715251589526467,278.8755325623859
30,10.0,full_window,30,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,10.0,half_window,15,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,10.0,quarter_window,7,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,2.0,full_window,30,0.3977812995245642,0.12406203101550775,0.18913552413492407,631,1999,1368,6950.0,0.9973842225816814,0.3058968014296546,627.0969581749049
30,2.0,half_window,15,0.31061806656101426,0.09804902451225612,0.1490494296577947,631,1999,1368,6950.0,0.9973842225816814,0.3058968014296546,627.0969581749049
30,2.0,quarter_window,7,0.18225039619651348,0.057528764382191094,0.08745247148288975,631,1999,1368,6950.0,0.9973842225816814,0.3058968014296546,627.0969581749049
30,2.29,full_window,30,0.45989304812834225,0.04302151075537769,0.07868252516010979,187,1999,1812,14470.0,0.9893685734370793,0.10331897413024158,2698.3554437328453
30,2.29,half_window,15,0.39037433155080214,0.03651825912956478,0.0667886550777676,187,1999,1812,14470.0,0.9893685734370793,0.10331897413024158,2698.3554437328453
30,2.29,quarter_window,7,0.2192513368983957,0.02051025512756378,0.03751143641354071,187,1999,1812,14470.0,0.9893685734370793,0.10331897413024158,2698.3554437328453
30,2.57,full_window,30,0.5,0.015007503751875938,0.029140359397765905,60,1999,1939,32092.0,0.9664707920777447,0.035093770363726046,8718.863525983486
30,2.57,half_window,15,0.43333333333333335,0.013006503251625813,0.025254978144730454,60,1999,1939,32092.0,0.9664707920777447,0.035093770363726046,8718.863525983486
30,2.57,quarter_window,7,0.35,0.010505252626313157,0.02039825157843614,60,1999,1939,32092.0,0.9664707920777447,0.035093770363726046,8718.863525983486
30,2.86,full_window,30,0.6,0.006003001500750375,0.01188707280832095,20,1999,1979,106079.0,0.8990287198426218,0.012345150929441792,27183.107974244675
30,2.86,half_window,15,0.5,0.0050025012506253125,0.009905894006934125,20,1999,1979,106079.0,0.8990287198426218,0.012345150929441792,27183.107974244675
30,2.86,quarter_window,7,0.4,0.00400200100050025,0.0079247152055473,20,1999,1979,106079.0,0.8990287198426218,0.012345150929441792,27183.107974244675
30,3.14,full_window,30,0.5,0.0010005002501250625,0.0019970044932601095,4,1999,1995,268899.0,0.7256781312025554,0.0046555035622605195,96046.92661008488
30,3.14,half_window,15,0.25,0.0005002501250625312,0.0009985022466300548,4,1999,1995,268899.0,0.7256781312025554,0.0046555035622605195,96046.92661008488
30,3.14,quarter_window,7,0.25,0.0005002501250625312,0.0009985022466300548,4,1999,1995,268899.0,0.7256781312025554,0.0046555035622605195,96046.92661008488
30,3.43,full_window,30,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,3.43,half_window,15,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,3.43,quarter_window,7,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,3.71,full_window,30,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,3.71,half_window,15,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,3.71,quarter_window,7,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,4.0,full_window,30,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,4.0,half_window,15,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,4.0,quarter_window,7,1.0,0.0005002501250625312,0.0009999999999999998,1,1999,1998,560095.0,0.4985382987130208,0.0024542192120792215,268544.825
30,4.29,full_window,30,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,4.29,half_window,15,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,4.29,quarter_window,7,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,4.57,full_window,30,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,4.57,half_window,15,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
30,4.57,quarter_window,7,0.0,0.0,0.0,0,1999,1999,inf,0.0006369915100204434,0.0013177998218334395,inf
