dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,800000.0,0.017750000000000002,0.02264751642012872,4,0.01132375821006436
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,810000.0,0.0108,0.012539005808542662,4,0.006269502904271331
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,820000.0,0.009525,0.011834237054692907,4,0.005917118527346454
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,830000.0,0.026775,0.03573610452562879,4,0.017868052262814394
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,840000.0,0.009375,0.010889865319032493,4,0.005444932659516247
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,850000.0,0.0086,0.009978643862436083,4,0.004989321931218042
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,860000.0,0.0119,0.014430985182354437,4,0.007215492591177219
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,870000.0,0.010249999999999999,0.011947803145348521,4,0.005973901572674261
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,880000.0,0.0127,0.014925146565444507,4,0.007462573282722254
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,890000.0,0.010675,0.012362139782416312,4,0.006181069891208156
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,900000.0,0.01245,0.015241281660892782,4,0.007620640830446391
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,910000.0,0.014275,0.016585410255201206,4,0.008292705127600603
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,920000.0,0.040425,0.06716687551663146,4,0.03358343775831573
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,930000.0,0.012625,0.01512798179974227,4,0.007563990899871135
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,940000.0,0.0043,0.0086,4,0.0043
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,950000.0,0.01045,0.014778531726798843,2,0.01045
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,960000.0,0.0141,0.01994041122946064,2,0.0141
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,970000.0,0.0116,0.0164048773235279,2,0.0116
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,980000.0,0.01365,0.019304015126392748,2,0.01365
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,990000.0,0.01015,0.014354267658086914,2,0.01015
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1000000.0,0.01345,0.01902117241391813,2,0.01345
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1010000.0,0.013,0.018384776310850236,2,0.013
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1020000.0,0.01485,0.021001071401240464,2,0.01485
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1030000.0,0.01215,0.017182694782833102,2,0.01215
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1040000.0,0.02,0.0282842712474619,2,0.02
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1050000.0,0.01425,0.020152543263816606,2,0.01425
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1060000.0,0.0153,0.021637467504308353,2,0.0153
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1070000.0,0.01355,0.019162593770155438,2,0.01355
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1080000.0,0.04965,0.07021570337182417,2,0.04965
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1090000.0,0.0,0.0,2,0.0
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,1100000.0,0.0,0.0,2,0.0
