dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,690000.0,0.005083333333333333,0.005660535899247232,6,0.002310904103977008
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,700000.0,0.005083333333333333,0.005579396622096933,6,0.0022777791327909247
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,710000.0,0.004383333333333334,0.004878695180749322,6,0.001991718967235198
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,720000.0,0.006383333333333334,0.007155533988925401,6,0.0029212345183348616
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,730000.0,0.005066666666666666,0.005870491177632981,6,0.0023966179874518544
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,740000.0,0.00505,0.0055475219693120635,6,0.0022647663602823726
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,750000.0,0.006983333333333334,0.00795849650792577,6,0.0032490425940233194
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,760000.0,0.009583333333333334,0.01188299906028216,6,0.004851214051943883
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,770000.0,0.0032,0.0049771477775931066,6,0.002031912071588401
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,780000.0,0.0035166666666666666,0.0054524917851076745,6,0.0022259704500384647
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,790000.0,0.0063999999999999994,0.008217055433669655,4,0.0041085277168348274
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,800000.0,0.006574999999999999,0.00759314383726091,4,0.003796571918630455
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,810000.0,0.00515,0.005946707772653145,4,0.0029733538863265727
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,820000.0,0.0041,0.004759551799627075,4,0.0023797758998135377
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,830000.0,0.007775000000000001,0.009879397754924133,4,0.004939698877462067
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,840000.0,0.00545,0.00638200595424354,4,0.00319100297712177
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,850000.0,0.0049,0.005789070161375947,4,0.0028945350806879734
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,860000.0,0.004825,0.00581743070435738,4,0.00290871535217869
