dataset,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,231.0,0.13474663425775704,0.06244940930388374,16,0.015612352325970935
strain_yWT04a,232.0,0.12516344034184412,0.07564147608531366,16,0.018910369021328415
strain_yWT04a,233.0,0.13672882499882222,0.056826493355086494,16,0.014206623338771623
strain_yWT04a,234.0,0.12091723387073629,0.05586438427756704,16,0.01396609606939176
strain_yWT04a,235.0,0.13197899246956415,0.05897560610435359,16,0.014743901526088397
strain_yWT04a,236.0,0.12486691832008652,0.06430796909124949,16,0.01607699227281237
strain_yWT04a,237.0,0.13626806553138823,0.06372440406400101,16,0.015931101016000253
strain_yWT04a,238.0,0.13061252344177288,0.04563402636411666,16,0.011408506591029165
strain_yWT04a,239.0,0.14170865701905774,0.06150233095228589,16,0.015375582738071472
strain_yWT04a,240.0,0.13192567776773692,0.061507043810907054,16,0.015376760952726764
strain_yWT04a,241.0,0.13645744757665296,0.07016253567891668,16,0.01754063391972917
strain_yWT04a,242.0,0.11584048870220295,0.05345305169599171,16,0.013363262923997928
strain_yWT04a,243.0,0.1373650289311984,0.06995170160810474,16,0.017487925402026185
strain_yWT04a,244.0,0.1378208997310034,0.06677024824563485,16,0.016692562061408713
strain_yWT04a,245.0,0.11855044484906031,0.03770301901887793,16,0.009425754754719483
strain_yWT04a,246.0,0.14046631006263346,0.06250359339968137,16,0.015625898349920342
strain_yWT04a,247.0,0.14684048298015012,0.07314753603658618,16,0.018286884009146544
strain_yWT04a,248.0,0.137243855214482,0.07389493724624446,16,0.018473734311561116
strain_yWT04a,249.0,0.1390423165812941,0.06358895113345688,16,0.01589723778336422
strain_yWT04a,250.0,0.1355315556661613,0.0752293854426521,16,0.018807346360663026
strain_yWT04a,251.0,0.14225149277449595,0.06835255972401684,16,0.01708813993100421
strain_yWT04a,252.0,0.13825278031418287,0.06176092421961893,16,0.015440231054904732
strain_yWT04a,253.0,0.10294849768455565,0.06016944792749158,16,0.015042361981872894
strain_yWT04a,254.0,0.13640672131699033,0.052016569998751185,16,0.013004142499687796
strain_yWT04a,255.0,0.12638721043989304,0.061997704151563714,16,0.015499426037890928
strain_yWT04a,256.0,0.13321022143806258,0.05777791711152093,16,0.014444479277880232
strain_yWT04a,257.0,0.17525910050111698,0.06713173323371094,16,0.016782933308427735
strain_yWT04a,258.0,0.13652582731310992,0.0732803132199061,16,0.018320078304976527
strain_yWT04a,259.0,0.15464248801110178,0.06498364207141118,16,0.016245910517852794
strain_yWT04a,260.0,0.11753918705677607,0.05395250121012516,16,0.01348812530253129
strain_yWT04a,261.0,0.13937822393318577,0.07243481452098292,16,0.01810870363024573
strain_yWT04a,262.0,0.14936717145903003,0.061596915277717115,16,0.015399228819429279
strain_yWT04a,263.0,0.12970092788297338,0.06519157794716988,16,0.01629789448679247
strain_yWT04a,264.0,0.13697392387820628,0.06105851487782381,16,0.015264628719455952
strain_yWT04a,265.0,0.1309192242456679,0.0690474972385312,16,0.0172618743096328
strain_yWT04a,266.0,0.16229221590519355,0.0664178026199075,16,0.016604450654976875
