,,mean_norm
bem1-aid-dbem3_a,YBR223W-A,1.7086750601166418
bem1-aid-dbem3_a,YBR224W,-0.17144407687865681
bem1-aid-dbem3_a,YBR225W,1.005861590806443
bem1-aid-dbem3_a,YBR226C,0.4017459082605111
bem1-aid-dbem3_a,MCX1,0.9129625412042968
bem1-aid-dbem3_a,SLX1,1.4245328944648836
bem1-aid-dbem3_a,ROT2,1.3001802572192094
bem1-aid-dbem3_a,OM14,-0.6383254465159444
bem1-aid-dbem3_a,YBR230W-A,1.5109077307846495
bem1-aid-dbem3_a,SWC5,0.7147864868551181
bem1-aid-dbem3_a,YBR232C,0.7849092712062368
bem1-aid-dbem3_a,PBP2,0.40985537539046984
bem1-aid-dbem3_a,DAD3,
bem1-aid-dbem3_a,ARC40,1.5145314575262703
