strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yTW001,820000.0,0.035525,0.007223284109969186,4,0.003611642054984593
strain_yTW001,830000.0,0.0654,0.022663333088199244,4,0.011331666544099622
strain_yTW001,840000.0,0.03,0.004425682621547399,4,0.0022128413107736994
strain_yTW001,850000.0,0.029625,0.003644516428828385,4,0.0018222582144141926
strain_yTW001,860000.0,0.036525,0.0068422096820642195,4,0.0034211048410321097
strain_yTW001,870000.0,0.033850000000000005,0.003571647612330572,4,0.001785823806165286
strain_yTW001,880000.0,0.039275000000000004,0.0010144785195688798,4,0.0005072392597844399
strain_yTW001,890000.0,0.035375000000000004,0.0022867371223353776,4,0.0011433685611676888
strain_yTW001,900000.0,0.0468,0.02278420505525703,4,0.011392102527628515
strain_yTW001,910000.0,0.044225,0.0005909032633745266,4,0.0002954516316872633
strain_yTW001,920000.0,0.10994999999999999,0.080434175986745,4,0.0402170879933725
strain_yTW001,930000.0,0.03885,0.0030027764929589197,4,0.0015013882464794599
strain_yTW001,940000.0,0.017724999999999998,0.020506157611800413,4,0.010253078805900206
strain_yTW001,950000.0,0.0434,0.003394112549695427,2,0.0023999999999999994
strain_yTW001,960000.0,0.0489,0.001979898987322331,2,0.0013999999999999985
strain_yTW001,970000.0,0.0443,0.001131370849898479,2,0.0008000000000000021
strain_yTW001,980000.0,0.048549999999999996,0.002899137802864847,2,0.0020500000000000015
strain_yTW001,990000.0,0.0385,0.00311126983722081,2,0.0022000000000000006
strain_yTW001,1000000.0,0.0492,0.0014142135623730963,2,0.0010000000000000009
strain_yTW001,1010000.0,0.0401,0.0001414213562373062,2,9.999999999999766e-05
strain_yTW001,1020000.0,0.046200000000000005,0.0015556349186104026,2,0.0010999999999999985
strain_yTW001,1030000.0,0.045200000000000004,0.0015556349186104075,2,0.001100000000000002
strain_yTW001,1040000.0,0.05675,0.0020506096654409876,2,0.00145
strain_yTW001,1050000.0,0.0479,0.002687005768508879,2,0.001899999999999999
strain_yTW001,1060000.0,0.046,0.00042426406871193083,2,0.00030000000000000165
strain_yTW001,1070000.0,0.0409,0.004808326112068524,2,0.0034000000000000002
strain_yTW001,1080000.0,0.12865,0.0019091883092036937,2,0.001350000000000011
strain_yTW001,1090000.0,0.0,0.0,2,0.0
strain_yTW001,1100000.0,0.0,0.0,2,0.0
